"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"ПЕРЕМЕНА АДРЕСА","CHANGEMENT D'ADRESSE","http://www.kinohorosho.ru/node/728","Эмманюэль Муре","Франция","not mixed",2006,85,"not short","ПЕРЕМЕНА АДРЕСА CHANGEMENT D'ADRESSE  ","Франция, 2006, 85 мин."
"ПЕЧКИ-ЛАВОЧКИ",NA,"http://www.kinohorosho.ru/node/1409","Василий Шукшин","СССР","not mixed",1972,95,"not short","ПЕЧКИ-ЛАВОЧКИ","СССР, 1972, 95 мин."
"ПЕШКОМ-ПЕШКОМ","歩いても 歩いても","http://www.kinohorosho.ru/node/934","Хирокадзу Корээда","Япония","not mixed",2008,115,"not short","ПЕШКОМ-ПЕШКОМ 歩いても 歩いても","Япония, 2008, 115 мин."
"ПИ МАК ИЗ ФРА ХАНОНГА","พี่มาก..พระโขนง","http://www.kinohorosho.ru/node/938","Баньенг Писензенекун","Таиланд","not mixed",2013,102,"not short","ПИ МАК ИЗ ФРА ХАНОНГА พี่มาก..พระโขนง","Таиланд, 2013, 102 мин."
"ПИНГ-ПОНГ","PINGPONG","http://www.kinohorosho.ru/node/641","Маттиас Лутхардт","Германия","not mixed",2006,89,"not short","ПИНГ-ПОНГPINGPONG","Германия, 2006, 89 мин."
"ПИСАТЕЛЬ ""П"". ПОПЫТКА ИДЕНТИФИКАЦИИ",NA,"http://www.kinohorosho.ru/node/854","Борис Караджев, Григорий Рябушев","Россия","not mixed",2013,74,"not short","ПИСАТЕЛЬ ""П"". ПОПЫТКА ИДЕНТИФИКАЦИИ","Россия, 2013, 74 мин."
"ПОВАР, ВОР, ЕГО ЖЕНА И ЕЁ ЛЮБОВНИК","THE COOK, THE THIEF, HIS WIFE & HER LOVER","http://www.kinohorosho.ru/node/609","Питер Гринуэй","Великобритания-Франция","mixed",1989,124,"not short","ПОВАР, ВОР, ЕГО ЖЕНА И ЕЁ ЛЮБОВНИКTHE COOK, THE THIEF, HIS WIFE & HER LOVER  ","Великобритания-Франция, 1989, 124 мин."
"ПОЛЬСКИЙ КОРОТКИЙ МЕТР.ПЕРВЫЕ ФИЛЬМЫ БУДУЩИХ КЛАССИКОВ",NA,"http://www.kinohorosho.ru/node/793","Анджей Вайда, Роман Поланский, Кшиштоф Кеслёвский, Филип Байон, Збигнев Рыбчинский, Дорота Кендзежавская, Мариуш Гжегожек, Павел Лозиньский, Малгожата Шумовская","Польша","not mixed",2009,100,"not short","ПОЛЬСКИЙ КОРОТКИЙ МЕТР.ПЕРВЫЕ ФИЛЬМЫ БУДУЩИХ КЛАССИКОВ","Польша, 1953-1997, 100 мин."
"ПОМНИШЬ ЛИ ТЫ, ДОЛЛИ БЕЛЛ?","SJECAS LI SE, DOLLY BELL","http://www.kinohorosho.ru/node/816","Эмир Кустурица","Югославия","not mixed",1981,107,"not short","ПОМНИШЬ ЛИ ТЫ, ДОЛЛИ БЕЛЛ?SJECAS LI SE, DOLLY BELL","Югославия, 1981, 107 мин."
"ПРЕКРАСНЫЕ ДНИ В АРАНХУЭСЕ","LES BEAUX JOURS D'ARANJUEZ","http://www.kinohorosho.ru/node/1084","Вим Вендерс","Франция-Германия","mixed",2016,97,"not short","ПРЕКРАСНЫЕ ДНИ В АРАНХУЭСЕLES BEAUX JOURS D'ARANJUEZ","Франция-Германия, 2016, 97 мин."
"ПРЕСТУПЛЕНИЕ ИЗ-ЗА ЛЮБВИ","CRIME D'AMOUR","http://www.kinohorosho.ru/node/720","Ален Корно","Франция","not mixed",2010,106,"not short","ПРЕСТУПЛЕНИЕ ИЗ-ЗА ЛЮБВИCRIME D'AMOUR","Франция, 2010, 106 мин."
"ПРОЛЕТАЯ НАД ГНЕЗДОМ КУКУШКИ","ONE FLEW OVER THE CUCKOO'S NEST","http://www.kinohorosho.ru/node/1384","Милош Форман","США","not mixed",1975,133,"not short","ПРОЛЕТАЯ НАД ГНЕЗДОМ КУКУШКИONE FLEW OVER THE CUCKOO'S NEST","США, 1975, 133 мин."
"РОДЖЕР УОТЕРС: СТЕНА","ROGER WATERS THE WALL","http://www.kinohorosho.ru/node/955","Шон Эванс, Роджер Уотерс","Великобритания","not mixed",2014,155,"not short","РОДЖЕР УОТЕРС: СТЕНА ROGER WATERS THE WALL","Великобритания, 2014, 155 мин."
