"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"ЭТОТ СМУТНЫЙ ОБЪЕКТ ЖЕЛАНИЯ","CET OBSCUR OBJET DU DESIR","http://www.kinohorosho.ru/node/400","Луис Бунюэль","Франция-Испания","mixed",1977,102,"not short","ЭТОТ СМУТНЫЙ ОБЪЕКТ ЖЕЛАНИЯ                      //                     CET OBSCUR OBJET DU DESIR","Франция-Испания, 1977, 102 мин."
"УБИЙЦЫ ЛЕДИ","THE LADYKILLERS","http://www.kinohorosho.ru/node/379","Александр Макендрик","Великобритания","not mixed",1955,91,"not short","УБИЙЦЫ ЛЕДИ / / THE LADYKILLERS","Великобритания, 1955, 91 мин."
"АЛЬФАВИЛЬ","ALPHAVILLE, UNE ETRANGE AVENTURE","http://www.kinohorosho.ru/node/239","Жан-Люк Годар","Франция-Италия","mixed",1965,99,"not short","АЛЬФАВИЛЬ / ALPHAVILLE, UNE ETRANGE AVENTURE / DE LEMMY CAUTION","Франция- Италия, 1965, 99 мин."
"КЕНТЕРБЕРИЙСКИЕ РАССКАЗЫ","RACCONTI DI CANTERBURY","http://www.kinohorosho.ru/node/375","Пьер Паоло Пазолини","Италия-Франция-Германия","mixed",1972,106,"not short","ТРИЛОГИЯ ЖИЗНИ./КЕНТЕРБЕРИЙСКИЕ РАССКАЗЫ /RACCONTI DI CANTERBURY","Италия-Франция-Германия, 1972, 106 мин."
"ЦВЕТОК 1001 НОЧИ","IL FIORE DELLE MILLE E UNA NOTTE","http://www.kinohorosho.ru/node/376","Пьер Паоло Пазолини","Италия-Франция","mixed",1974,130,"not short","ТРИЛОГИЯ ЖИЗНИ./ЦВЕТОК 1001 НОЧИ/IL FIORE DELLE MILLE E UNA NOTTE","Италия-Франция, 1974, 130 мин."
"ЕВА ХОЧЕТ СПАТЬ","EWA CHCET SPAC","http://www.kinohorosho.ru/node/277","Тадеуш Хмелевски","Польша","not mixed",1958,95,"not short","ЕВА ХОЧЕТ СПАТЬ / EWA CHCET                      SPAC","Польша, 1958, 95 мин."
"ЕВАНГЕЛИЕ ОТ МАТФЕЯ","IL VANGELO SECONDO MATTEO","http://www.kinohorosho.ru/node/666","Пьер Паоло Пазолини","Италия-Франция","mixed",1964,131,"not short","ЕВАНГЕЛИЕ ОТ МАТФЕЯ / IL VANGELO SECONDO MATTEO","Италия-Франция, 1964, 131 мин."
"ЦЕНА МОЛОКА","THE PRICE OF MILK","http://www.kinohorosho.ru/node/387","Гарри Синклер","Новая Зеландия","not mixed",2000,83,"not short","ЦЕНА МОЛОКА/THE PRICE OF MILK","Новая Зеландия, 2000, 83 мин."
"ЦЕНТРАЛЬНЫЙ ВОКЗАЛ","CENTRAL DO BRASIL","http://www.kinohorosho.ru/node/389","Вальтер Саллес","Бразилия-Франция","mixed",1998,113,"not short","ЦЕНТРАЛЬНЫЙ ВОКЗАЛ / CENTRAL DO BRASIL","Бразилия-Франция, 1998, 113 мин."
"ШАБОНДАМСКАЯ ЭЛЕГИЯ","SHABONDAMA ELEGY","http://www.kinohorosho.ru/node/397","Ян Керкхоф","Нидерланды-Япония","mixed",1999,85,"not short","ШАБОНДАМСКАЯ ЭЛЕГИЯ / SHABONDAMA                      ELEGY","Нидерланды-Япония, 1999, 85 мин."
"ЭЛЕМЕНТ ПРЕСТУПЛЕНИЯ","FORBRYDELSENS ELEMENT","http://www.kinohorosho.ru/node/398","Ларс Фон Триер","Дания","not mixed",1984,104,"not short","ЭЛЕМЕНТ ПРЕСТУПЛЕНИЯ/ FORBRYDELSENS ELEMENT","Дания, 1984, 104 мин."
"ЮНЫЙ ЛЕЙТЕНАНТ","LE PETIT LIEUTENANT","http://www.kinohorosho.ru/node/401","Ксавье Бовуа","Франция","not mixed",2005,96,"not short","ЮНЫЙ ЛЕЙТЕНАНТ/                     LE PETIT LIEUTENANT","Франция, 2005, 96 мин."
"Я ЗДЕСЬ НЕ ДЛЯ ТОГО, ЧТОБЫ МЕНЯ ЛЮБИЛИ","JE NE SUIS PAS LA POUR ETRE AIME","http://www.kinohorosho.ru/node/402","Стефан Бризе","Франция","not mixed",2005,93,"not short","Я ЗДЕСЬ НЕ ДЛЯ ТОГО, ЧТОБЫ                      МЕНЯ ЛЮБИЛИ/                     JE NE SUIS PAS LA POUR ETRE AIME","Франция, 2005, 93 мин."
"ЯАБА","YAABA","http://www.kinohorosho.ru/node/403","Идрисса Уедраого","Буркина-Фассо","mixed",1989,86,"not short","Яаба / Yaaba"," Буркина-Фассо, 1989, 86 мин."
"А ТЕПЕРЬ НЕ СМОТРИ","DON'T LOOK NOW","http://www.kinohorosho.ru/node/237","Николас Роуг","Великобритания-Италия","mixed",1973,106,"not short","А ТЕПЕРЬ НЕ СМОТРИ / DON'T LOOK NOW","Великобритания - Италия, 1973, 106 мин."
"ДЕД МОРОЗ – ОТМОРОЗОК!","LE PERE NOEL EST UNE ORDURE!","http://www.kinohorosho.ru/node/671","Жан-Мари Пуаре","Франция","not mixed",1982,87,"not short","ДЕД МОРОЗ – ОТМОРОЗОК! / LE PERE NOEL EST UNE ORDURE! ","Франция, 1982, 87 мин."
"ДЕКАЛОГ 3 И 6","DEKALOG 3, 6","http://www.kinohorosho.ru/node/667","Кшиштоф Кесьлёвский","Польша","not mixed",1988,120,"not short","ДЕКАЛОГ 3 И 6 / DEKALOG 3, 6 ","Польша, 1988, 120 мин."
"ЗАВЕЩАНИЕ ОРФЕЯ","LE TESTAMENT D'ORPHEE, OU NE ME DEMANDEZ PAS POURQUOI!","http://www.kinohorosho.ru/node/282","Жан Кокто","Франция","not mixed",1960,79,"not short","ЗАВЕЩАНИЕ ОРФЕЯ/                     LE TESTAMENT D'ORPHEE, OU NE ME DEMANDEZ PAS POURQUOI!","Франция, 1960, 79 мин."
"И СТАЛ СВЕТ","ET LA LUMIERE FUT","http://www.kinohorosho.ru/node/287","Отар Иоселиани","Франция-Германия-Италия","mixed",1989,105,"not short","И СТАЛ СВЕТ / ET LA LUMIERE                      FUT","Франция-Германия-Италия, 1989, 105 мин."
"И. О. ХАДСАКЕРА","THE HUDSUCKER PROXY","http://www.kinohorosho.ru/node/672","Джоэл Коэн, Итан Коэн","США-Великобритания-Германия","mixed",1994,106,"not short","И. О. ХАДСАКЕРА / THE HUDSUCKER PROXY ","США-Великобритания-Германия, 1994, 106 мин."
"КАЙДАН","KAIDAN","http://www.kinohorosho.ru/node/507","Масаки Кобаяси","Япония","not mixed",1964,180,"not short","КАЙДАН / KAIDAN","Япония, 1964, 180 мин."
"КАПЛЯ","DE DRUPPEL","http://www.kinohorosho.ru/node/292","Maarten Koopman","Нидерланды","not mixed",2001,8,"short","КАПЛЯ/                     DE DRUPPEL","Нидерланды, 2001, 8 мин."
"МАГИ И СТРАННИКИ","TRAVELLERS AND MAGICIANS","http://www.kinohorosho.ru/node/308","Кхьенце Норбу","Австралия-Бутан","mixed",2003,103,"not short","МАГИ И СТРАННИКИ / TRAVELLERS AND MAGICIANS","Австралия-Бутан, 2003, 103 мин."
"МАГОНИЯ","MAGONIA","http://www.kinohorosho.ru/node/309","Инеке Смитс","Нидерланды","not mixed",2001,112,"not short","МАГОНИЯ / MAGONIA","Нидерланды, 2001, 112 мин."
"МАЛЕНЬКИЙ ИЕРУСАЛИМ","LA PETITE JERUSALEM","http://www.kinohorosho.ru/node/310","Карин Албу","Франция","not mixed",2005,96,"not short","МАЛЕНЬКИЙ ИЕРУСАЛИМ/                     LA PETITE JERUSALEM","Франция, 2005, 96 мин."
"НА РИНГЕ","DANS LES CORDES","http://www.kinohorosho.ru/node/320","Магали Ришар-Серрано","Франция","not mixed",2007,93,"not short","НА РИНГЕ/DANS LES CORDES","Франция, 2007, 93 мин."
"ОБЕЩАНИЕ","LA PROMESSE","http://www.kinohorosho.ru/node/331","Жан-Пьер, Люк Дарденны","Бельгия","not mixed",1996,90,"not short","ОБЕЩАНИЕ/ LA PROMESSE","Бельгия, 1996, 90 мин."
"ПАРЕНЬ ИЗ СОСЕДНЕЙ МОГИЛЫ","GRABEN I GRAVEN BREDVID","http://www.kinohorosho.ru/node/336","Чель Сундвалль","Швеция","not mixed",2005,94,"not short","ПАРЕНЬ ИЗ СОСЕДНЕЙ МОГИЛЫ                      / GRABEN I GRAVEN BREDVID","Швеция, 2005, 94 мин."
"ПАСТОРАЛЬ. УМЕРЕТЬ В ДЕРЕВНЕ","DEN-EN NI SHISU","http://www.kinohorosho.ru/node/335","Суджи Тераяма","Япония","not mixed",1974,101,"not short","ПАСТОРАЛЬ. УМЕРЕТЬ В ДЕРЕВНЕ/DEN-EN NI SHISU","Япония, 1974, 101 мин."
"САМАЯ ПЕЧАЛЬНАЯ МУЗЫКА НА СВЕТЕ","THE SADDEST MUSIC IN THE WORLD","http://www.kinohorosho.ru/node/354","Гай Мэдден","Канада","not mixed",2003,99,"not short","САМАЯ ПЕЧАЛЬНАЯ МУЗЫКА НА                      СВЕТЕ/                     THE SADDEST MUSIC IN THE WORLD","Канада, 2003, 99 мин."
"У","U","http://www.kinohorosho.ru/node/378","Серж Эллисальд","Франция","not mixed",2006,75,"not short","У/U","Франция, 2006, 75 мин."
"ФАТА МОРГАНА","FATA MORGANA","http://www.kinohorosho.ru/node/382","Вернер Херцог","Германия","not mixed",1971,74,"not short","ФАТА МОРГАНА / FATA MORGANA"," Германия, 1971, 74 мин."
"ХАРАКТЕР","KARAKTER","http://www.kinohorosho.ru/node/384","Майк Ван Дим (Дебют)","Нидерланды-Бельгия","mixed",1997,122,"not short","ХАРАКТЕР / KARAKTER","Нидерланды - Бельгия, 1997, 122 мин."
"ХИРОСИМА, МОЯ ЛЮБОВЬ","HIROSHIMA MON AMOUR","http://www.kinohorosho.ru/node/385","Ален Рене","Франция-Япония","mixed",1959,91,"not short","Хиросима,                      моя любовь / Hiroshima mon amour","Франция-Япония, 1959, 91 мин."
"ЧАЙКА ПО ИМЕНИ ДЖОНАТАН ЛИВИНГСТОН","JONATHAN LIVINGSTON SEAGULL","http://www.kinohorosho.ru/node/391","Хол Бартлет","США","not mixed",1973,95,"not short","ЧАЙКА ПО ИМЕНИ ДЖОНАТАН ЛИВИНГСТОН / JONATHAN LIVINGSTON SEAGULL","США, 1973, 95 мин."
"ЧАСТЬ НЕБА","UNE PART DU CIEL","http://www.kinohorosho.ru/node/390","Бенедикт Льенар","Франция-Бельгия-Люксембург","mixed",2002,85,"not short","Часть                      неба / Une part du ciel","Франция-Бельгия-Люксембург, 2002, 85 мин."
"АНДРЕ ТЕШИНЕ О СВОЕМ ФИЛЬМЕ ""ЗАБЛУДШИЕ""","LES EGARES","http://www.kinohorosho.ru/node/281","Андре Тешине","Франция-Великобритания","mixed",2002,95,"not short","АНДРЕ ТЕШИНЕ О СВОЕМ ФИЛЬМЕ ""ЗАБЛУДШИЕ"" / LES EGARES","Франция-Великобритания, 2002, 95 мин."
"АННА И БЭЛЛА","ANNA & BELLA","http://www.kinohorosho.ru/node/240","Borge Ring","Нидерланды","not mixed",1984,8,"short","АННА И БЭЛЛА / ANNA & BELLA","Нидерланды, 1984, 8 мин."
"АНТЕННА","LA ANTENA","http://www.kinohorosho.ru/node/241","Эстебан Сапир","Аргентина","not mixed",2007,97,"not short","АНТЕННА / LA ANTENA","Аргентина, 2007, 97 мин."
"АУРА","EL AURA","http://www.kinohorosho.ru/node/243","Фабиан Бьелински","Аргентина","not mixed",2005,132,"not short","АУРА / EL AURA","Аргентина, 2005, 132 мин."
"БЕРНИ","BERNIE","http://www.kinohorosho.ru/node/477","Ричард Линклейтер","США","not mixed",2011,100,"not short","БЕРНИ / BERNIE  ","США, 2011, 100 мин."
"БОЖЕ, БОЖЕ, ПОЧЕМУ ТЫ ОСТАВИЛ МЕНЯ?","ELI, ELI, LEMA SABACHTHANI?","http://www.kinohorosho.ru/node/247","Синдзи Аояма","Япония","not mixed",2005,108,"not short","БОЖЕ, БОЖЕ, ПОЧЕМУ ТЫ ОСТАВИЛ МЕНЯ? / ELI, ELI, LEMA SABACHTHANI?","Япония, 2005, 108 мин."
"БУКВЫ","DE KARAKTERS","http://www.kinohorosho.ru/node/250","Эверт Де Бейер","Нидерланды","not mixed",1986,8,"short","БУКВЫ / DE KARAKTERS (анимация)","Нидерланды, 1986, 8 мин."
"БУКЕТ","KYTICEM","http://www.kinohorosho.ru/node/503","Франтишек Антонин Брабец","Чехия","not mixed",2000,80,"not short","БУКЕТ / KYTICEM","Чехия, 2000, 80 мин."
"БУНТАРИ НЕОНОВОГО БОГА","CH'ING SHAONIEN NA CHA","http://www.kinohorosho.ru/node/251","Цай Мин-Лянь","Тайвань","not mixed",1992,101,"not short","БУНТАРИ НЕОНОВОГО БОГА / CH'ING SHAONIEN NA CHA","Тайвань, 1992, 101 мин."
"БУРЯ В ТИХОЙ ЗАВОДИ","VIOLENCE DES ECHANGES EN MILIEU TEMPERE","http://www.kinohorosho.ru/node/252","Жан-Марк Муту","Франция-Бельгия","mixed",2003,99,"not short","БУРЯ В ТИХОЙ ЗАВОДИ / VIOLENCE DES ECHANGES EN MILIEU TEMPERE","Франция-Бельгия, 2003, 99 мин."
"ВЕРЕВКА","ROPE","http://www.kinohorosho.ru/node/253","Альфред Хичкок","США","not mixed",1947,70,"not short","ВЕРЕВКА / ROPE","США, 1947, 70 мин."
"ВЕРНЫЕ ЛЮБОВНИКИ","LES AMANTS REGULIERS","http://www.kinohorosho.ru/node/254","Филипп Гаррель","Франция","not mixed",2005,178,"not short","ВЕРНЫЕ ЛЮБОВНИКИ/                     LES AMANTS REGULIERS","Франция, 2005, 178 мин."
"ВЕСТЕРН 4.33","WESTERN 4.33","http://www.kinohorosho.ru/node/255","Арьян Каганоф (Ян Керкхоф)","Нидерланды-ЮАР-Япония","mixed",2001,33,"short","ВЕСТЕРН                      4.33 / WESTERN 4.33","Нидерланды-ЮАР-Япония, 2001, 33 мин."
"ВКУС ЧАЯ","CHA NO AJI","http://www.kinohorosho.ru/node/256","Ишии Кацухито","Япония","not mixed",2004,143,"not short","ВКУС ЧАЯ / CHA NO AJI","Япония, 2004, 143 мин."
"ВОДЯНЫЕ ЛИЛИИ","LA NAISSANCE DES PIEUVRES","http://www.kinohorosho.ru/node/257","Селин Скьямма","Франция","not mixed",2006,100,"not short","ВОДЯНЫЕ ЛИЛИИ /LA NAISSANCE DES PIEUVRES","Франция, 2006, 100 мин."
"ВОЗВАЩЕНИЕ","VOLVER","http://www.kinohorosho.ru/node/258","Педро Альмодовар","Испания","not mixed",2006,121,"not short","ВОЗВАЩЕНИЕ / VOLVER","Испания, 2006, 121 мин."
"ВОСЕМЬ С ПОЛОВИНОЙ","OTTO E MEZZO","http://www.kinohorosho.ru/node/261","Федерико Феллини","Италия","not mixed",1963,138,"not short","ВОСЕМЬ С ПОЛОВИНОЙ / OTTO                      E MEZZO","Италия, 1963, 138 мин."
"ВСЕ ПРОЩЕНО","TOUT EST PARDONNE","http://www.kinohorosho.ru/node/263","Миа Хансен-Лёве","Франция","not mixed",2007,105,"not short","ВСЕ ПРОЩЕНО / TOUT EST PARDONNE","Франция, 2007, 105 мин."
"ВСЕГДА ЕСТЬ ПРИЧИНА","CAUSE TOUJOURS!","http://www.kinohorosho.ru/node/264","Жанна Лабрюн","Франция","not mixed",2004,84,"not short","ВСЕГДА ЕСТЬ ПРИЧИНА / CAUSE                      TOUJOURS!","Франция, 2004, 84 мин."
"ВЫШИВАЛЬЩИЦЫ","BRODEUSES","http://www.kinohorosho.ru/node/265","Элеонор Фоше","Франция","not mixed",2004,88,"not short","ВЫШИВАЛЬЩИЦЫ / BRODEUSES","Франция, 2004, 88 мин."
"ГИЛЬОТИНА","LE COUPERET","http://www.kinohorosho.ru/node/266","Коста-Гаврас","Франция-Бельгия-Испания","mixed",2005,122,"not short","ГИЛЬОТИНА/                     LE COUPERET","Франция-Бельгия-Испания, 2005, 122 мин."
"ГИМАЛАИ - СТАНОВЛЕНИЕ ВОЖДЯ","HIMALAYA - L'ENFANCE D'UN CHEF","http://www.kinohorosho.ru/node/550","Эрик Валли","Великобритания-Франция-Швейцария-Непал","mixed",1999,104,"not short","ГИМАЛАИ - СТАНОВЛЕНИЕ ВОЖДЯ / HIMALAYA - L'ENFANCE D'UN CHEF","Великобритания-Франция-Швейцария-Непал, 1999, 104 мин."
"ГОРОДСКАЯ СОБАКА","MAH NAKORN","http://www.kinohorosho.ru/node/267","Вишит Сасанатьенг","Таиланд","not mixed",2004,100,"not short","ГОРОДСКАЯ СОБАКА/ MAH NAKORN","Таиланд, 2004, 100 мин."
"ДИК ТРЕЙСИ","DICK TRACY","http://www.kinohorosho.ru/node/272","Уоррен Битти","США","not mixed",1990,105,"not short","ДИК ТРЕЙСИ / DICK TRACY"," США, 1990, 105 мин."
"ДОМ","HAUSU","http://www.kinohorosho.ru/node/275","Нобухико Обаяши","Япония","not mixed",1977,87,"not short","ДОМ / HAUSU","Япония, 1977, 87 мин."
"ЖИЗНЬ БЕЗ ГАБРИЭЛЛЫ ФЕРРИ","ELU ILMA GABRIELLA FERRITA","http://www.kinohorosho.ru/node/626","Приийт Пярн","Эстония","not mixed",2008,44,"short","ЖИЗНЬ БЕЗ ГАБРИЭЛЛЫ ФЕРРИ / ELU ILMA GABRIELLA FERRITA","Эстония, 2008, 44 мин."
"ЗАПРЕТНЫЙ ПЛОД","KIELLETTY HEDELMA","http://www.kinohorosho.ru/node/623","Доме Карукоски","Финляндия","not mixed",2009,104,"not short","ЗАПРЕТНЫЙ ПЛОД / KIELLETTY HEDELMA","Финляндия, 2009, 104 мин."
"ЗЕТ И ДВА НУЛЯ","A ZED AND TWO NOUGHTS","http://www.kinohorosho.ru/node/284","Питер Гринуэй","Великобритания-Нидерланды","mixed",1985,117,"not short","ЗЕТ И ДВА НУЛЯ / A ZED AND TWO NOUGHTS","Великобритания-Нидерланды, 1985, 117 мин."
"ЗМЕЯ В КУЛАКЕ","VIPИRE AU POING","http://www.kinohorosho.ru/node/285","Филипп Де Брока","Франция","not mixed",2004,100,"not short","ЗМЕЯ В КУЛАКЕ / VIPИRE AU                      POING","Франция, 2004, 100 мин."
"ЗНАМЕНИТЫЕ КАРТИНЫ","BEROEMDE SCHILDERIJEN","http://www.kinohorosho.ru/node/286","Maarten Koopman","Нидерланды","not mixed",1996,17,"short","ЗНАМЕНИТЫЕ КАРТИНЫ/                     BEROEMDE SCHILDERIJEN (анимация)","Нидерланды, 1996, 17 мин."
"ИЛЛЮЗИОНИСТ","DE ILLUSIONIST","http://www.kinohorosho.ru/node/289","Йос Стеллинг","Нидерланды","not mixed",1983,90,"not short","ИЛЛЮЗИОНИСТ / DE ILLUSIONIST","Нидерланды, 1983, 90 мин."
"ИСТОРИЯ ДВУХ СЕСТЕР","JANGHWA, HONGRYEON","http://www.kinohorosho.ru/node/506","Джи Ун Ким","Южная Корея","not mixed",2003,110,"not short","ИСТОРИЯ ДВУХ СЕСТЕР / JANGHWA, HONGRYEON","Южная Корея, 2003, 110 мин."
"ИСТОРИЯ НИДЕРЛАНДОВ","A HISTORY OF THE NETHERLANDS","http://www.kinohorosho.ru/node/290","Petra Dolleman","Нидерланды","not mixed",1997,10,"short","ИСТОРИЯ НИДЕРЛАНДОВ/                     A HISTORY OF THE NETHERLANDS (анимация)","Нидерланды, 1997, 10 мин."
"КАРЛ И МЭРИЛИН","KARL AND MARILYN","http://www.kinohorosho.ru/node/625","Приийт Пярн","Эстония","not mixed",2003,23,"short","КАРЛ И МЭРИЛИН / KARL AND MARILYN","Эстония, 2003, 23 мин."
"КАРМЕН","CARMEN","http://www.kinohorosho.ru/node/293","Карлос Саура","Испания","not mixed",1983,97,"not short","Кармен/Carmen"," Испания, 1983, 97 мин."
"КВАРТИРА","THE APARTMENT","http://www.kinohorosho.ru/node/670","Билли Уайлдер","США","not mixed",1960,125,"not short","КВАРТИРА / THE APARTMENT","США, 1960, 125 мин."
"КО ВСЕМ ЧЕРТЯМ!","NAAR DE KLOTE!","http://www.kinohorosho.ru/node/295","Ян Керкхоф","Нидерланды","not mixed",1996,104,"not short","КО ВСЕМ ЧЕРТЯМ! / NAAR DE                      KLOTE!","Нидерланды, 1996, 104 мин."
"КОМПАНЬОНЫ","A PRAIRIE HOME COMPANION","http://www.kinohorosho.ru/node/297","Роберт Олтмен","США","not mixed",2006,106,"not short","КОМПАНЬОНЫ / A PRAIRIE HOME                      COMPANION","США, 2006, 106 мин."
"КРЕМАСТЕР 2","CREMASTER 2","http://www.kinohorosho.ru/node/300","Мэтью Барни","США","not mixed",1999,80,"not short","КРЕМАСТЕР 2/ CREMASTER 2","США, 1999, 80 мин."
"КРЕМАСТЕР 3","CREMASTER 3","http://www.kinohorosho.ru/node/301","Мэтью Барни","США","not mixed",2002,180,"not short","КРЕМАСТЕР 3/ CREMASTER 3","США, 2002, 180 мин."
"КРОВЬ И КОСТИ","CHI TO HONE","http://www.kinohorosho.ru/node/303","Йоичи Сай","Япония","not mixed",2004,140,"not short","КРОВЬ И КОСТИ / CHI TO HONE","Япония, 2004, 140 мин."
"КРОТ","EL TOPO","http://www.kinohorosho.ru/node/304","Алехандро Ходоровский","Мексика","not mixed",1970,125,"not short","КРОТ / EL TOPO","Мексика, 1970, 125 мин."
"КУБОК","PHORPA","http://www.kinohorosho.ru/node/551","Лама Кхентце Норбу","Бутан-Австралия","mixed",1999,90,"not short","КУБОК / PHORPA","Бутан-Австралия, 1999, 90 мин."
"ЛЕОЛО","LEOLO","http://www.kinohorosho.ru/node/305","Жан-Клод Лозон","Канада-Франция","mixed",1992,107,"not short","ЛЕОЛО / LEOLO","Канада- Франция, 1992, 107 мин."
"ЛЕТУЧИЙ ГОЛЛАНДЕЦ","DE VLIEGENDE HOLLANDER","http://www.kinohorosho.ru/node/306","Йос Стеллинг","Ниделанды-Бельгия-Германия","mixed",1995,140,"not short","ЛЕТУЧИЙ ГОЛЛАНДЕЦ / DE VLIEGENDE HOLLANDER","Ниделанды-Бельгия-Германия, 1995, 140 мин."
"МАМИНА УЛЫБКА","LA TETE DE MAMAN","http://www.kinohorosho.ru/node/311","Карин Тардье","Франция","not mixed",2005,95,"not short","МАМИНА УЛЫБКА /LA TeTE DE MAMAN","Франция, 2005, 95 мин."
"МАРИЯ","MARY","http://www.kinohorosho.ru/node/314","Абель Феррара","США-Италия-Франция","mixed",2005,83,"not short","МАРИЯ / MARY","США-Италия-Франция, 2005, 83 мин."
"МЕРТВЕЦ-2: ВОЗВРАЩЕНИЕ МЕРТВЕЦА","THE DEAD MAN 2: RETURN OF THE DEAD MAN","http://www.kinohorosho.ru/node/259","Ян Керкхоф","Нидерланды","not mixed",1994,26,"short","МЕРТВЕЦ-2:                      ВОЗВРАЩЕНИЕ МЕРТВЕЦА/                     THE DEAD MAN 2: RETURN OF THE DEAD MAN","Нидерланды, 1994, 26 мин."
"МИЛАРЕПА","MILAREPA","http://www.kinohorosho.ru/node/553","Лама Нетен Чоклинг","Бутан","not mixed",2006,90,"not short","МИЛАРЕПА / MILAREPA","Бутан, 2006, 90 мин."
"МИСИМА. ЖИЗНЬ В ЧЕТЫРЕХ ГЛАВАХ","MISHIMA. A LIFE IN FOUR CHAPTERS","http://www.kinohorosho.ru/node/316","Пол Шредер","США","not mixed",1985,121,"not short","МИСИМА. ЖИЗНЬ В ЧЕТЫРЕХ ГЛАВАХ / MISHIMA. A LIFE IN FOUR CHAPTERS","США, 1985, 121 мин."
"МОЕ СЕРДЦЕ БИТЬСЯ ПЕРЕСТАЛО","DE BATTRE MON COEUR S'EST ARRETE","http://www.kinohorosho.ru/node/317","Жак Одиар","Франция","not mixed",2005,107,"not short","МОЕ СЕРДЦЕ БИТЬСЯ ПЕРЕСТАЛО/                     DE BATTRE MON COEUR S'EST ARRETE","Франция, 2005, 107 мин."
"МУЖЬЯ И ЖЕНЫ","HUSBANDS AND WIVES","http://www.kinohorosho.ru/node/319","Вуди Аллен","США","not mixed",1998,108,"not short","МУЖЬЯ И ЖЕНЫ / HUSBANDS AND WIVES","  США, 1998, 108 мин."
"НАЗАД В ЧЕРНИЛЬНИЦУ","BACK TO THE INKWELL","http://www.kinohorosho.ru/node/321","Ronald Bijlsma","Нидерланды","not mixed",1992,9,"short","НАЗАД В ЧЕРНИЛЬНИЦУ / BACK TO THE INKWELL","Нидерланды, 1992, 9 мин."
"НАСЛАЖДЕНИЕ-ПАЛОМА","DELICE PALOMA","http://www.kinohorosho.ru/node/322","Надир Мокнеш","Франция","not mixed",2007,102,"not short","НАСЛАЖДЕНИЕ-ПАЛОМА / DELICE PALOMA","Франция, 2007, 102 мин."
"НАТЯНУТАЯ ТЕТИВА","HWA","http://www.kinohorosho.ru/node/323","Ким Ки-Дук","Южная Корея-Япония","mixed",2005,90,"not short","НАТЯНУТАЯ ТЕТИВА / HWA","Южная Корея-Япония, 2005, 90 мин."
"НАУКА СНА","LA SCIENCE DES REVES","http://www.kinohorosho.ru/node/324","Мишель Гондри","Франция","not mixed",2005,105,"not short","НАУКА СНА / LA SCIENCE DES                      REVES","Франция, 2005, 105 мин."
"НЕГР-ПОГОРЕЛЕЦ","SVIDD NEGER","http://www.kinohorosho.ru/node/504","Эрик Смит Мейер","Норвегия","not mixed",2003,85,"not short","НЕГР-ПОГОРЕЛЕЦ / SVIDD NEGER","Норвегия, 2003, 85 мин."
"НЕЗРИМОЕ","PEN CHOO KAB PEE","http://www.kinohorosho.ru/node/326","Вишит Сасанатьенг","Таиланд","not mixed",2006,94,"not short","НЕЗРИМОЕ/ PEN CHOO KAB PEE","Таиланд, 2006, 94 мин."
"НИ ПОЕЗДОВ, НИ САМОЛЕТОВ","NO TRAINS NO PLANES","http://www.kinohorosho.ru/node/327","Йос Стеллинг","Нидерланды-Германия-Бельгия","mixed",1999,105,"not short","НИ ПОЕЗДОВ, НИ САМОЛЕТОВ/                     NO TRAINS NO PLANES","Нидерланды-Германия-Бельгия, 1999, 105 мин."
"НОСФЕРАТУ. ПРИЗРАК НОЧИ","NOSFERATU: PHANTOM DER NACHT","http://www.kinohorosho.ru/node/328","Вернер Херцог","Германия-Франция","mixed",1979,107,"not short","НОСФЕРАТУ. ПРИЗРАК НОЧИ / NOSFERATU: PHANTOM DER NACHT","Германия-Франция, 1979, 107 мин."
"ОРЛАНДО","ORLANDO","http://www.kinohorosho.ru/node/332","Салли Поттер","Великобритания-СССР-Нидерланды-Франция-Италия","mixed",1992,90,"not short","ОРЛАНДО / ORLANDO","Великобритания-СССР-Нидерланды-Франция-Италия, 1992, 90 мин."
"ОТЕЦ И ДОЧЬ","FATHER AND DAUGHTER","http://www.kinohorosho.ru/node/333","Михаэль Дюдок Де Вит","Нидерланды","not mixed",2000,9,"short","ОТЕЦ И ДОЧЬ / FATHER AND DAUGHTER","Нидерланды, 2000, 9 мин."
"ОТСЧЕТ УТОПЛЕННИКОВ","DROWNING BY NUMBERS","http://www.kinohorosho.ru/node/334","Питер Гринуэй","Великобритания-Нидерланды","mixed",1988,117,"not short","ОТСЧЕТ УТОПЛЕННИКОВ / DROWNING BY NUMBERS","Великобритания-Нидерланды, 1988, 117 мин."
"ПЕСНИ СО ВТОРОГО ЭТАЖА","SANGER FRAN ANDRA VANINGEN","http://www.kinohorosho.ru/node/338","Рой Андерссон","Швеция-Норвегия-Дания","mixed",2000,98,"not short","ПЕСНИ СО ВТОРОГО ЭТАЖА / SANGER                      FRAN ANDRA VANINGEN","Швеция-Норвегия-Дания, 2000, 98 мин."
"ПЕЩЕРА","DE GROT","http://www.kinohorosho.ru/node/340","Мартин Коолховен","Нидерланды","not mixed",2001,90,"not short","ПЕЩЕРА / DE GROT","Нидерланды, 2001, 90 мин."
